rank,country_code,name,source_country_name,gdp_2025_usd_billions,series_code,latest_actual_period,country_update_date,publication_date
1,USA,United States,United States,30767.075,USA.NGDPD.A,2025,2025-09-30T00:00:00,2026-04-14T13:00:00Z
2,CHN,China,"China, People's Republic of",19626.247,CHN.NGDPD.A,2025,2025-09-25T00:00:00,2026-04-14T13:00:00Z
3,DEU,Germany,Germany,5048.059,DEU.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
4,JPN,Japan,Japan,4435.163,JPN.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
5,GBR,United Kingdom,United Kingdom,4003.022,GBR.NGDPD.A,2025,2025-09-13T00:00:00,2026-04-14T13:00:00Z
6,IND,India,India,3916.312,IND.NGDPD.A,FY2024/25,2025-09-26T00:00:00,2026-04-14T13:00:00Z
7,FRA,France,France,3368.925,FRA.NGDPD.A,2025,2025-09-30T00:00:00,2026-04-14T13:00:00Z
8,RUS,Russia,Russian Federation,2587.938,RUS.NGDPD.A,2025,2025-09-12T00:00:00,2026-04-14T13:00:00Z
9,ITA,Italy,Italy,2550.111,ITA.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
10,CAN,Canada,Canada,2319.9,CAN.NGDPD.A,2025,2025-09-25T00:00:00,2026-04-14T13:00:00Z
11,BRA,Brazil,Brazil,2279.918,BRA.NGDPD.A,2025,2025-09-13T00:00:00,2026-04-14T13:00:00Z
12,ESP,Spain,Spain,1903.826,ESP.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
13,KOR,South Korea,"Korea, Republic of",1872.375,KOR.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
14,AUS,Australia,Australia,1839.961,AUS.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
15,MEX,Mexico,Mexico,1832.641,MEX.NGDPD.A,2024,2025-09-16T00:00:00,2026-04-14T13:00:00Z
16,TUR,Türkiye,"Türkiye, Republic of",1597.301,TUR.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
17,IDN,Indonesia,Indonesia,1445.642,IDN.NGDPD.A,2025,2025-09-11T00:00:00,2026-04-14T13:00:00Z
18,NLD,Netherlands,"Netherlands, The",1332.24,NLD.NGDPD.A,2025,2025-09-18T00:00:00,2026-04-14T13:00:00Z
19,SAU,Saudi Arabia,Saudi Arabia,1276.943,SAU.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
20,CHE,Switzerland,Switzerland,1043.544,CHE.NGDPD.A,2025,2025-09-24T00:00:00,2026-04-14T13:00:00Z
21,POL,Poland,"Poland, Republic of",1035.586,POL.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
22,TWN,Taiwan,Taiwan Province of China,920.05,TWN.NGDPD.A,2025,2025-09-26T00:00:00,2026-04-14T13:00:00Z
23,BEL,Belgium,Belgium,724.917,BEL.NGDPD.A,2024,2025-09-11T00:00:00,2026-04-14T13:00:00Z
24,IRL,Ireland,Ireland,718.14,IRL.NGDPD.A,2025,2025-09-19T00:00:00,2026-04-14T13:00:00Z
25,ARG,Argentina,Argentina,681.485,ARG.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
26,SWE,Sweden,Sweden,668.999,SWE.NGDPD.A,2024,2025-09-24T00:00:00,2026-04-14T13:00:00Z
27,ISR,Israel,Israel,610.778,ISR.NGDPD.A,2025,2025-09-23T00:00:00,2026-04-14T13:00:00Z
